name,price,location,Тип предложения,Период аренды,Серия,Дом,Этаж,Площадь,Отопление,Состояние,Интернет,Санузел,Газ,Балкон,Входная дверь,Парковка,Мебель,Пол,Высота потолков,Правоустанавливающие документы,Телефон,Безопасность,Разное,"
                                    Дом                            ",Площадь участка,Возможность ипотеки,Кол-во этажей,Канализация,Питьевая вода,Электричество,Коммуникации,"
                                    Тип строения                            ",Поливная вода,Местоположение
"3-комн. кв., 100 м2",$ 1 000/мес.,"Бишкек, Магистраль, Чынгыз Айтматова 97/5",от агента,на долгий срок,элитка,монолитный,3 этаж из 9,100 м2,центральное,евроремонт,проводной,раздельный,магистральный,балкон,бронированная,паркинг,полностью меблирована,паркет,3 м.,,есть,"решетки на окнах,                                             домофон,                                             сигнализация,                                             видеодомофон,                                             охрана,                                             кодовый замок,                                             видеонаблюдение,                                             консьерж","пластиковые окна,                                             улучшенная,                                             новая сантехника,                                             кондиционер,                                             неугловая,                                             комнаты изолированы,                                             встроенная кухня,                                             кладовка,                                             тихий двор,                                             удобно под бизнес",,,,,,,,,,,
"2-комн. кв., 70 м2",$ 800/мес.,"Бишкек, Магистраль",от агента,на долгий срок,элитка,кирпичный,10 этаж из 10,70 м2,,евроремонт,,,,,,,,,,,,,,,,,,,,,,,,
"3-комн. кв., 76 м2",$ 850/мес.,"Бишкек, Политех, Ахунбаева 169/1",от агента,помесячно,элитка,"монолитный, 2020 г.",12 этаж из 12,76 м2,центральное,евроремонт,проводной,совмещенный,магистральный,балкон,бронированная,паркинг,полностью меблирована,паркет,3 м.,,есть,"решетки на окнах,                                             домофон,                                             сигнализация,                                             видеодомофон,                                             охрана,                                             кодовый замок,                                             видеонаблюдение,                                             консьерж","пластиковые окна,                                             улучшенная,                                             новая сантехника,                                             кондиционер,                                             неугловая,                                             комнаты изолированы,                                             встроенная кухня,                                             кладовка,                                             тихий двор,                                             удобно под бизнес",,,,,,,,,,,
"2-комн. кв., 50 м2",$ 500/мес.,"Бишкек, Московская - Белинка, Манаса 41",от агента,помесячно,индивид. планировка,монолитный,6 этаж из 9,50 м2,центральное,евроремонт,проводной,раздельный,магистральный,балкон,бронированная,паркинг,полностью меблирована,паркет,2.8 м.,,есть,"решетки на окнах,                                             домофон,                                             сигнализация,                                             видеодомофон,                                             охрана,                                             кодовый замок,                                             видеонаблюдение,                                             консьерж","пластиковые окна,                                             улучшенная,                                             кухня-студия,                                             новая сантехника,                                             кондиционер,                                             неугловая,                                             комнаты изолированы,                                             встроенная кухня,                                             кладовка,                                             тихий двор,                                             удобно под бизнес",,,,,,,,,,,
"2-комн. кв., 68 м2",$ 519/мес.,"Бишкек, Кок-Жар м-н",от агента,на долгий срок,индивид. планировка,кирпичный,7 этаж из 7,68 м2,центральное,евроремонт,проводной,раздельный,магистральный,застекленный балкон,бронированная,паркинг,полностью меблирована,ламинат,,,возможно подключение,"решетки на окнах,                                             домофон,                                             сигнализация,                                             видеодомофон,                                             охрана,                                             кодовый замок,                                             видеонаблюдение","пластиковые окна,                                             улучшенная,                                             кухня-студия,                                             новая сантехника,                                             кондиционер,                                             неугловая,                                             комнаты изолированы,                                             встроенная кухня,                                             тихий двор",,,,,,,,,,,
"2-комн. кв., 70 м2",$ 800/мес.,"Бишкек, Джальская больница",от агента,на долгий срок,элитка,кирпичный,5 этаж из 10,70 м2,,евроремонт,проводной,совмещенный,магистральный,нет,бронированная,,,ламинат,3 м.,,есть,домофон,"пластиковые окна,                                             новая сантехника,                                             встроенная кухня,                                             тихий двор",,,,,,,,,,,
"4-комн. кв., 150 м2",$ 1 200/мес.,"Бишкек, Ак Кеме, Чынгыз Айтматова 91",от агента,на долгий срок,элитка,монолитный,4 этаж из 11,150 м2,центральное,евроремонт,проводной,раздельный,магистральный,балкон,бронированная,паркинг,полностью меблирована,паркет,3 м.,,есть,"решетки на окнах,                                             домофон,                                             сигнализация,                                             видеодомофон,                                             охрана,                                             кодовый замок,                                             видеонаблюдение,                                             консьерж","пластиковые окна,                                             улучшенная,                                             новая сантехника,                                             кондиционер,                                             неугловая,                                             комнаты изолированы,                                             встроенная кухня,                                             кладовка,                                             тихий двор,                                             удобно под бизнес",,,,,,,,,,,
"3-комн. кв., 79 м2",$ 700/мес.,"Бишкек, Юг-2 м-н, ЮГ-2 5",от агента,на долгий срок,105 серия,монолитный,6 этаж из 9,79 м2,центральное,евроремонт,проводной,совмещенный,магистральный,лоджия,бронированная,паркинг,полностью меблирована,паркет,2.8 м.,,есть,"решетки на окнах,                                             домофон,                                             сигнализация,                                             видеодомофон,                                             охрана,                                             кодовый замок,                                             видеонаблюдение,                                             консьерж","пластиковые окна,                                             улучшенная,                                             новая сантехника,                                             кондиционер,                                             неугловая,                                             комнаты изолированы,                                             встроенная кухня,                                             кладовка,                                             тихий двор,                                             удобно под бизнес",,,,,,,,,,,
"2-комн. кв., 100 м2",$ 1 000/мес.,"Бишкек, Московская - Белинка",от агента,на долгий срок,элитка,монолитный,8 этаж из 15,100 м2,центральное,евроремонт,проводной,раздельный,магистральный,застекленный балкон,нет,паркинг,полностью меблирована,ламинат,,,возможно подключение,"решетки на окнах,                                             домофон,                                             видеодомофон,                                             видеонаблюдение,                                             кодовый замок","пластиковые окна,                                             улучшенная,                                             кухня-студия,                                             новая сантехника,                                             кондиционер,                                             комнаты изолированы,                                             встроенная кухня,                                             кладовка,                                             тихий двор",,,,,,,,,,,
"3-комн. кв., 120 м2",$ 1 000/мес.,"Бишкек, Моссовет, Усенбаева 52",от агента,на долгий срок,элитка,монолитный,7 этаж из 9,120 м2,центральное,евроремонт,проводной,раздельный,,балкон,бронированная,паркинг,полностью меблирована,линолеум,3 м.,,есть,"решетки на окнах,                                             домофон,                                             сигнализация,                                             видеодомофон,                                             охрана,                                             кодовый замок,                                             видеонаблюдение,                                             консьерж","пластиковые окна,                                             улучшенная,                                             новая сантехника,                                             кондиционер,                                             неугловая,                                             комнаты изолированы,                                             встроенная кухня,                                             кладовка,                                             тихий двор,                                             удобно под бизнес",,,,,,,,,,,
"2-комн. кв., 83 м2",$ 800/мес.,"Бишкек, Парк Панфилова/Спартак, Эркиндик 64б",от агента,на долгий срок,элитка,монолитный,4 этаж из 9,83 м2,центральное,евроремонт,проводной,раздельный,магистральный,балкон,бронированная,паркинг,полностью меблирована,паркет,3 м.,,есть,"решетки на окнах,                                             домофон,                                             сигнализация,                                             видеодомофон,                                             охрана,                                             кодовый замок,                                             видеонаблюдение,                                             консьерж","пластиковые окна,                                             улучшенная,                                             новая сантехника,                                             кондиционер,                                             неугловая,                                             комнаты изолированы,                                             встроенная кухня,                                             кладовка,                                             тихий двор,                                             удобно под бизнес",,,,,,,,,,,
"2-комн. кв., 70 м2",$ 800/мес.,"Бишкек, Магистраль, пр. Ч. Айтматова",от агента,на долгий срок,элитка,"панельный, 2022 г.",11 этаж из 12,70 м2,электрическое,евроремонт,,,,,,,,,3.3 м.,,,,,,,,,,,,,,,
"3-комн. кв., 83 м2",$ 700/мес.,"Бишкек, ЦУМ, Советская",от агента,на долгий срок,сталинка,кирпичный,2 этаж из 3,83 м2,,хорошее,,совмещенный,,,бронированная,,полностью меблирована,ламинат,3 м.,,,,"пластиковые окна,                                             тихий двор",,,,,,,,,,,
"1-комн. кв., 50 м2",$ 600/мес.,"Бишкек, Магистраль, Сухэ-Батора 21/г/Токомбаева",от агента,на долгий срок,элитка,"монолитный, 2021 г.",8 этаж из 8,50 м2,центральное,евроремонт,проводной,раздельный,магистральный,балкон,бронированная,паркинг,полностью меблирована,паркет,3 м.,,есть,"домофон,                                             сигнализация,                                             видеодомофон,                                             охрана,                                             кодовый замок,                                             видеонаблюдение,                                             консьерж","пластиковые окна,                                             улучшенная,                                             новая сантехника,                                             кондиционер,                                             неугловая,                                             комнаты изолированы,                                             встроенная кухня,                                             кладовка,                                             тихий двор,                                             удобно под бизнес",,,,,,,,,,,
"3-комн. кв., 136 м2",$ 1 000/мес.,"Бишкек, Золотой квадрат, Киевская 80",от агента,на долгий срок,элитка,монолитный,4 этаж из 8,136 м2,центральное,евроремонт,проводной,раздельный,магистральный,балкон,бронированная,паркинг,полностью меблирована,паркет,3 м.,,есть,"решетки на окнах,                                             домофон,                                             сигнализация,                                             видеодомофон,                                             охрана,                                             кодовый замок,                                             видеонаблюдение,                                             консьерж","пластиковые окна,                                             улучшенная,                                             новая сантехника,                                             кондиционер,                                             неугловая,                                             комнаты изолированы,                                             встроенная кухня,                                             кладовка,                                             тихий двор,                                             удобно под бизнес",,,,,,,,,,,
"2-комн. кв., 54 м2",$ 750/мес.,"Бишкек, Магистраль",от агента,на долгий срок,элитка,кирпичный,8 этаж из 12,54 м2,электрическое,евроремонт,,,,,,,,,,,,,,,,,,,,,,,,
"Дом, 6 и более комнат, 253 м2",$ 2 000/мес.,"Бишкек, Верхний Джал м-н",от агента,на долгий срок,,,,253 м2,смешанное,среднее,проводной,,,,,,,,,,есть,,,кирпичный,10 соток,,,,,,,,,
"1-комн. кв., 36 м2",$ 519/мес.,"Бишкек, Моссовет, Усенбаева 26",от агента,на долгий срок,индивид. планировка,кирпичный,4 этаж из 5,36 м2,центральное,евроремонт,проводной,раздельный,магистральный,балкон,бронированная,паркинг,полностью меблирована,паркет,2.8 м.,,есть,"решетки на окнах,                                             домофон,                                             сигнализация,                                             видеодомофон,                                             кодовый замок,                                             консьерж","пластиковые окна,                                             улучшенная,                                             новая сантехника,                                             кондиционер,                                             неугловая,                                             комнаты изолированы,                                             встроенная кухня,                                             кладовка,                                             тихий двор,                                             удобно под бизнес",,,,,,,,,,,
"2-комн. кв., 70 м2",$ 800/мес.,"Бишкек, БГУ, 3-Линия 37",от агента,на долгий срок,элитка,монолитный,4 этаж из 9,70 м2,центральное,евроремонт,проводной,раздельный,,балкон,бронированная,паркинг,полностью меблирована,паркет,3 м.,,есть,"решетки на окнах,                                             домофон,                                             сигнализация,                                             видеодомофон,                                             охрана,                                             кодовый замок,                                             видеонаблюдение,                                             консьерж","пластиковые окна,                                             улучшенная,                                             новая сантехника,                                             кондиционер,                                             неугловая,                                             комнаты изолированы,                                             встроенная кухня,                                             кладовка,                                             тихий двор,                                             удобно под бизнес",,,,,,,,,,,
"2-комн. кв., 58 м2",$ 800/мес.,"Бишкек, Филармония, Чуй 162",от агента,на долгий срок,индивид. планировка,кирпичный,4 этаж из 5,58 м2,центральное,евроремонт,проводной,раздельный,магистральный,балкон,бронированная,паркинг,полностью меблирована,паркет,3 м.,,есть,"решетки на окнах,                                             домофон,                                             сигнализация,                                             видеодомофон,                                             охрана,                                             кодовый замок,                                             видеонаблюдение,                                             консьерж","пластиковые окна,                                             улучшенная,                                             новая сантехника,                                             кондиционер,                                             неугловая,                                             комнаты изолированы,                                             встроенная кухня,                                             кладовка,                                             тихий двор,                                             удобно под бизнес",,,,,,,,,,,
"3-комн. кв., 78 м2",$ 850/мес.,"Бишкек, Московская - Уметалиева",от агента,на долгий срок,элитка,кирпичный,7 этаж из 12,78 м2,центральное,евроремонт,проводной,раздельный,магистральный,застекленный балкон,бронированная,гараж,полностью меблирована,ламинат,3 м.,,возможно подключение,"домофон,                                             видеодомофон,                                             охрана,                                             кодовый замок,                                             видеонаблюдение,                                             консьерж","улучшенная,                                             пластиковые окна,                                             кухня-студия,                                             новая сантехника,                                             кондиционер,                                             комнаты изолированы,                                             встроенная кухня,                                             кладовка,                                             тихий двор",,,,,,,,,,,
"2-комн. кв., 58 м2",$ 550/мес.,"Бишкек, Магистраль",от агента,на долгий срок,элитка,кирпичный,8 этаж из 10,58 м2,электрическое,евроремонт,,,,,,,,,,,,,,,,,,,,,,,,
"2-комн. кв., 85 м2",$ 749/мес.,"Бишкек, Горького - Панфилова, Каракульская 1",от агента,помесячно,элитка,"монолитный, 2017 г.",6 этаж из 9,85 м2,центральное,евроремонт,проводной,раздельный,магистральный,балкон,бронированная,паркинг,полностью меблирована,паркет,3 м.,,есть,"решетки на окнах,                                             домофон,                                             сигнализация,                                             видеодомофон,                                             охрана,                                             кодовый замок,                                             консьерж","пластиковые окна,                                             улучшенная,                                             новая сантехника,                                             кондиционер,                                             неугловая,                                             комнаты изолированы,                                             встроенная кухня,                                             кладовка,                                             тихий двор,                                             удобно под бизнес",,,,,,,,,,,
"3-комн. кв., 117 м2",$ 1 000/мес.,"Бишкек, Сквер Тоголок Молдо, Исанова 5/Боконбаева",от агента,на долгий срок,элитка,монолитный,3 этаж из 10,117 м2,центральное,евроремонт,проводной,совмещенный,магистральный,лоджия,бронированная,паркинг,полностью меблирована,паркет,3 м.,,есть,"решетки на окнах,                                             домофон,                                             сигнализация,                                             видеодомофон,                                             охрана,                                             кодовый замок,                                             видеонаблюдение,                                             консьерж","пластиковые окна,                                             улучшенная,                                             новая сантехника,                                             кондиционер,                                             неугловая,                                             комнаты изолированы,                                             встроенная кухня,                                             кладовка,                                             тихий двор,                                             удобно под бизнес",,,,,,,,,,,
"2-комн. кв., 60 м2",$ 600/мес.,"Бишкек, Кок-Жар м-н",от агента,на долгий срок,элитка,кирпичный,6 этаж из 10,60 м2,центральное,евроремонт,,,,,,,,,,,,,,,,,,,,,,,,
"Дом, 6 и более комнат, 677 м2",$ 5 500/мес.,"Бишкек, Мед. академия",от агента,на долгий срок,,,,677 м2,центральное,хорошее,проводной,,,,,,,,,,есть,,,"кирпичный, 2015 г.",10 соток,,4,,,,,,,
"3-комн. кв., 109 м2",$ 1 000/мес.,"Бишкек, Дворец спорта, Рыскулова 79 б/Тоголок Молдо",от агента,на долгий срок,элитка,монолитный,12 этаж из 12,109 м2,центральное,евроремонт,проводной,раздельный,магистральный,балкон,бронированная,паркинг,полностью меблирована,паркет,3 м.,,есть,"решетки на окнах,                                             домофон,                                             сигнализация,                                             видеодомофон,                                             охрана,                                             кодовый замок,                                             видеонаблюдение,                                             консьерж","пластиковые окна,                                             улучшенная,                                             кухня-студия,                                             новая сантехника,                                             кондиционер,                                             неугловая,                                             комнаты изолированы,                                             встроенная кухня,                                             кладовка,                                             тихий двор,                                             удобно под бизнес",,,,,,,,,,,
"1-комн. кв., 50 м2",$ 600/мес.,"Бишкек, Московская - Белинка/Турусбекова/Боконбаева",от агента,на долгий срок,элитка,кирпичный,7 этаж из 11,50 м2,центральное,евроремонт,,,,,,,,,,,,,,,,,,,,,,,,
"2-комн. кв., 76 м2",$ 1 000/мес.,"Бишкек, Военторг, Сыдыкова 139",от агента,на долгий срок,элитка,"монолитный, 2018 г.",13 этаж из 15,76 м2,центральное,евроремонт,проводной,раздельный,магистральный,балкон,бронированная,паркинг,полностью меблирована,паркет,3.2 м.,,есть,"решетки на окнах,                                             домофон,                                             сигнализация,                                             видеодомофон,                                             охрана,                                             кодовый замок,                                             видеонаблюдение,                                             консьерж","пластиковые окна,                                             улучшенная,                                             кухня-студия,                                             новая сантехника,                                             кондиционер,                                             неугловая,                                             комнаты изолированы,                                             встроенная кухня,                                             кладовка,                                             тихий двор,                                             удобно под бизнес",,,,,,,,,,,
"2-комн. кв., 60 м2",$ 1 000/мес.,"Бишкек, Военторг, Сагынбая Манасчы 141",от агента,на долгий срок,элитка,"монолитный, 2021 г.",5 этаж из 13,60 м2,центральное,евроремонт,проводной,раздельный,магистральный,балкон,бронированная,паркинг,полностью меблирована,паркет,3 м.,,есть,"решетки на окнах,                                             домофон,                                             сигнализация,                                             видеодомофон,                                             охрана,                                             кодовый замок,                                             видеонаблюдение,                                             консьерж","пластиковые окна,                                             улучшенная,                                             кухня-студия,                                             новая сантехника,                                             кондиционер,                                             неугловая,                                             комнаты изолированы,                                             встроенная кухня,                                             кладовка,                                             тихий двор,                                             удобно под бизнес",,,,,,,,,,,
"2-комн. кв., 40 м2",$ 461/мес.,"Бишкек, ЖД вокзал",от агента,на долгий срок,хрущевка,кирпичный,2 этаж из 5,40 м2,центральное,среднее,,,,,,,,,,,,,,,,,,,,,,,,
"Дом, 4-комн., 450 м2",$ 3 500/мес.,"Бишкек, Советская - Скрябина, Медерова",от агента,на долгий срок,,,,450 м2,,евроремонт,проводной,,,,,,,,,,есть,,,кирпичный,8 соток,,,,,,,,,
"2-комн. кв., 58 м2",$ 700/мес.,"Бишкек, Горького - Панфилова, Каракульская 1",от агента,на долгий срок,элитка,"монолитный, 2017 г.",3 этаж из 9,58 м2,центральное,евроремонт,проводной,совмещенный,магистральный,балкон,бронированная,паркинг,полностью меблирована,паркет,3 м.,,есть,"решетки на окнах,                                             домофон,                                             сигнализация,                                             видеодомофон,                                             охрана,                                             кодовый замок,                                             видеонаблюдение,                                             консьерж","пластиковые окна,                                             улучшенная,                                             новая сантехника,                                             кондиционер,                                             неугловая,                                             комнаты изолированы,                                             встроенная кухня,                                             кладовка,                                             тихий двор,                                             удобно под бизнес",,,,,,,,,,,
"1-комн. кв., 43 м2",$ 600/мес.,"Бишкек, Военторг, Токтогула 147",от агента,помесячно,элитка,"монолитный, 2016 г.",3 этаж из 11,43 м2,центральное,евроремонт,проводной,раздельный,магистральный,балкон,бронированная,паркинг,частично меблирована,паркет,3 м.,,есть,,,,,,,,,,,,,
"2-комн. кв., 67 м2",$ 600/мес.,"Бишкек, Сквер Тоголок Молдо",от агента,на долгий срок,элитка,кирпичный,2 этаж из 9,67 м2,центральное,хорошее,проводной,совмещенный,магистральный,,бронированная,,полностью меблирована,дерево,3 м.,,есть,домофон,"пластиковые окна,                                             новая сантехника,                                             кондиционер,                                             неугловая,                                             встроенная кухня,                                             тихий двор",,,,,,,,,,,
"2-комн. кв., 68 м2",$ 600/мес.,"Бишкек, Военторг",от агента,на долгий срок,элитка,кирпичный,3 этаж из 10,68 м2,центральное,хорошее,проводной,раздельный,магистральный,,бронированная,,полностью меблирована,ламинат,3 м.,,есть,домофон,"пластиковые окна,                                             кондиционер,                                             комнаты изолированы,                                             тихий двор",,,,,,,,,,,
"2-комн. кв., 75 м2",$ 700/мес.,"Бишкек, Военторг, Тоголок Молдо 3а/Токтогула",от агента,на долгий срок,элитка,монолитный,3 этаж из 10,75 м2,центральное,евроремонт,проводной,раздельный,магистральный,застекленный балкон,бронированная,паркинг,полностью меблирована,паркет,3 м.,,есть,"решетки на окнах,                                             домофон,                                             сигнализация,                                             видеодомофон,                                             охрана,                                             кодовый замок,                                             видеонаблюдение,                                             консьерж","пластиковые окна,                                             улучшенная,                                             новая сантехника,                                             кондиционер,                                             неугловая,                                             комнаты изолированы,                                             встроенная кухня,                                             кладовка,                                             тихий двор,                                             удобно под бизнес",,,,,,,,,,,
"2-комн. кв., 60 м2",$ 700/мес.,"Бишкек, КНУ, Шевченко 125",от агента,на долгий срок,элитка,монолитный,10 этаж из 10,60 м2,центральное,евроремонт,проводной,раздельный,магистральный,застекленный балкон,бронированная,паркинг,полностью меблирована,паркет,3 м.,,есть,"решетки на окнах,                                             домофон,                                             сигнализация,                                             видеодомофон,                                             охрана,                                             кодовый замок,                                             видеонаблюдение,                                             консьерж","пластиковые окна,                                             улучшенная,                                             новая сантехника,                                             кондиционер,                                             неугловая,                                             комнаты изолированы,                                             встроенная кухня,                                             кладовка,                                             тихий двор,                                             удобно под бизнес",,,,,,,,,,,
"2-комн. кв., 90 м2",$ 864/мес.,"Бишкек, Военторг, Сыдыкова/Коенкозова",от агента,на долгий срок,элитка,"монолитный, 2021 г.",7 этаж из 14,90 м2,центральное,евроремонт,,раздельный,,,,,,,3 м.,,,,,,,,,,,,,,,
"Дом, 6 и более комнат, 520 м2",$ 3 300/мес.,"Бишкек, Рабочий Городок",от агента,на долгий срок,,,,520 м2,,хорошее,,,,,,,,,,,,,,кирпичный,4 соток,,4,,,,,,,
"3-комн. кв., 120 м2",$ 1 500/мес.,"Бишкек, Военторг, Токтогула 140",от агента,на долгий срок,элитка,"монолитный, 2014 г.",3 этаж из 12,120 м2,центральное,евроремонт,проводной,раздельный,магистральный,застекленный балкон,бронированная,паркинг,полностью меблирована,паркет,3 м.,,есть,"решетки на окнах,                                             домофон,                                             сигнализация,                                             видеодомофон,                                             охрана,                                             кодовый замок,                                             видеонаблюдение,                                             консьерж","пластиковые окна,                                             улучшенная,                                             новая сантехника,                                             кондиционер,                                             неугловая,                                             комнаты изолированы,                                             встроенная кухня,                                             кладовка,                                             тихий двор,                                             удобно под бизнес",,,,,,,,,,,
